text;class
Pengalaman yang takan bisa terlupakan, pantai yg indah membuat hati kita nyaman dan tenang, terasa betah untuk berlama-lama main di sekitarnya.. Wajib kalian kunjungi bagi kalian yg pengen menghilangkan beban sejenak, silahkan berkunjung ke pantai ini karna aksesnya begitu dekat dengan pelabuhan.;1
Tempat wisata paling direkomendasikan ketika berkunjung ke pulau Kangean. Pantainya cukup bersih, tiket masuknya murah. Pastinya sangat halus dan lembut;1
Pantai dengan pasir putih dan pemandangan sunset yang bagus karena langsung menghadap ke arah barat.;1
Pelihara dan rawatlah pantai ujung barat pulau kangean ini sebagai sarana wisata pantai.. Pasirnya halus kayak butiran intan permata, nyaman untuk mandi serta camping dan sebagainya,, lautnya indah menunggu sunset;1
Apalagi ini pantai tiap pulang kampung selalu saja kesini untuk main ...;1
Pantai Pasir Putih terletak diujung barat Pulau Kangean. Tempat ini cukup populer untuk wisatawan lokal, baik untuk sekedar menikmati indahnya pantai atau menikmati indahnya matahari terbenam dengan pemandangan Pulau Mamburit dan mercusuarnya. Ada banyak alternatif wisata di Pulau Kangean, tapi untuk akses mudah dan tanpa berbayar setidaknya tempat ini bisa menjadi pengobat wisata di Pulau Kangean.;1
Pantai dengan deburan ombak yang kecil, hamparan pasir putih yang cukup luas. lokasi ini bersebelahan dengan pelabuhan batu guluk. Di depan pantai pasir putih terlihat dengan jelas pulau yang indah yaitu pulau mamburit.;1
Bisa lebih menikmati keindahan pantainya dibandingkan di kota2 lain yg pantainya penuh sesak dg para pengunjung;1
Spot viewnya keren dg hamparan pasir putih dan pulau kecil di depannya;1
Prinsip dari tempat nongkrong adalah kebersihan dan kenyamanan, Dua aspek ini terpenuhi di tempat ini, tempatnya rindang dan memiliki pohon-pohon besar untuk berteduh, cuaca yang terikpun menjadi cukup sejuk bila berada di taman ini. Area untuk duduk juga banyak. Lokasi ini juga cukup bersih dan tidak membuat mata gatal dengan tumpukan sampah. Semoga bisa terus mempertahankan kualitas ini dan bahkan meningkatkannya.;1
Tempat yang indah untuk mengabadikan momen anda bersama keluarga;1
TEMPATNYA yang Azri dengan pemandangan yang sangat memukau, memanjakan mata ;1
